PROSPECTID,time_since_recent_payment,time_since_first_deliquency,time_since_recent_deliquency,num_times_delinquent,max_recent_level_of_deliq,num_deliq_6mts,num_deliq_12mts,num_deliq_6_12mts,max_deliq_6mts,max_deliq_12mts,num_times_30p_dpd,num_times_60p_dpd,num_std,num_std_6mts,num_std_12mts,num_sub,num_sub_6mts,num_sub_12mts,num_dbt,num_dbt_6mts,num_dbt_12mts,num_lss,num_lss_6mts,num_lss_12mts,recent_level_of_deliq,tot_enq,CC_enq,CC_enq_L6m,CC_enq_L12m,PL_enq,PL_enq_L6m,PL_enq_L12m,time_since_recent_enq,enq_L12m,enq_L6m,enq_L3m,MARITALSTATUS,EDUCATION,AGE,GENDER,NETMONTHLYINCOME,Time_With_Curr_Empr,pct_of_active_TLs_ever,pct_opened_TLs_L6m_of_L12m,pct_currentBal_all_TL,CC_Flag,PL_Flag,pct_PL_enq_L6m_of_L12m,pct_CC_enq_L6m_of_L12m,pct_PL_enq_L6m_of_ever,pct_CC_enq_L6m_of_ever,max_unsec_exposure_inPct,HL_Flag,GL_Flag,last_prod_enq2,first_prod_enq2,Credit_Score,Approved_Flag,Total_TL,Tot_Closed_TL,Tot_Active_TL,Total_TL_opened_L6M,Tot_TL_closed_L6M,pct_tl_open_L6M,pct_tl_closed_L6M,pct_active_tl,pct_closed_tl,Total_TL_opened_L12M,Tot_TL_closed_L12M,pct_tl_open_L12M,pct_tl_closed_L12M,Tot_Missed_Pmnt,Auto_TL,CC_TL,Consumer_TL,Gold_TL,Home_TL,PL_TL,Secured_TL,Unsecured_TL,Other_TL,Age_Oldest_TL,Age_Newest_TL,Delinquency_Group
11,35.0,20.31864560993046,12.696757002664587,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.0,3.0,1.0,1.0,4.0,0.0,0.0,87.0,1.0,1.0,1.0,Single,GRADUATE,27,M,20000,95,0.714,0.333,0.846,1,1,0.0,1.0,0.0,0.333,13.064,0,0,CC,others,685,P2,7,2,5,1,0,0.143,0.0,0.714,0.286,3,1,0.429,0.143,0,2,1,2,0,0,2,2,5,0,64,5,No Delinquency
12,2543.0,20.31864560993046,12.696757002664587,0,0,0,0,0,4.841127815637518,9.20649812364211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.291036321226258,0.4672664667333111,0.1589025880262135,0.2608463845384872,1.135177163167833,0.5067199822281462,0.7576585582583584,260.0516494501833,3.011107408641564,1.995290458735977,1.241719426857714,Married,SSC,57,F,30000,141,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,38.66423535052205,0,0,others,others,682,P2,1,1,0,0,0,0.0,0.0,0.0,1.0,0,0,0.0,0.0,0,0,0,0,0,0,0,1,0,1,96,96,No Delinquency
13,1037.0,24.0,24.0,1,31,0,0,0,4.841127815637518,9.20649812364211,1,0,33,4,10,0,0,0,0,0,0,0,0,0,31,7.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0,1.0,Married,SSC,30,M,55000,126,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,38.66423535052205,0,0,ConsumerLoan,others,669,P2,2,2,0,0,0,0.0,0.0,0.0,1.0,0,0,0.0,0.0,0,1,0,0,0,0,0,2,0,1,49,49,Low (1-2)
14,46.0,20.31864560993046,12.696757002664587,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,164.0,1.0,1.0,0.0,Married,SSC,39,M,25000,125,0.5,1.0,0.345,0,0,0.0,0.0,0.0,0.0,0.288,0,0,ConsumerLoan,ConsumerLoan,687,P2,2,1,1,1,0,0.5,0.0,0.5,0.5,1,1,0.5,0.5,0,0,0,2,0,0,0,0,2,0,16,5,No Delinquency
15,395.0,20.31864560993046,12.696757002664587,0,0,0,0,0,4.841127815637518,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1135.0,0.0,0.0,0.0,Married,12TH,27,M,30000,154,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,38.66423535052205,0,0,others,others,692,P2,1,1,0,0,0,0.0,0.0,0.0,1.0,0,0,0.0,0.0,0,1,0,0,0,0,0,1,0,0,38,38,No Delinquency
16,42.0,20.31864560993046,12.696757002664587,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.0,1.0,1.0,1.0,1.0,1.0,1.0,46.0,13.0,11.0,5.0,Married,12TH,44,M,25000,245,0.875,0.875,0.815,1,0,1.0,1.0,1.0,1.0,2.416,0,0,ConsumerLoan,others,643,P4,8,1,7,7,1,0.875,0.125,0.875,0.125,8,1,1.0,0.125,2,1,1,5,0,0,0,1,7,1,9,1,No Delinquency
17,42.0,20.31864560993046,12.696757002664587,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,234.0,1.0,0.0,0.0,Married,SSC,30,M,30000,121,1.0,0.0,1.223,0,0,0.0,0.0,0.0,0.0,2.533,0,0,others,others,678,P2,1,0,1,0,0,0.0,0.0,1.0,0.0,1,0,1.0,0.0,0,0,0,0,0,0,0,0,1,1,7,7,No Delinquency
18,71.0,20.31864560993046,12.696757002664587,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.291036321226258,0.4672664667333111,0.1589025880262135,0.2608463845384872,1.135177163167833,0.5067199822281462,0.7576585582583584,260.0516494501833,3.011107408641564,1.995290458735977,1.241719426857714,Married,12TH,33,M,32000,154,1.0,1.0,0.4,0,0,0.0,0.0,0.0,0.0,0.375,0,0,others,others,682,P2,1,0,1,1,0,1.0,0.0,1.0,0.0,1,0,1.0,0.0,0,0,0,1,0,0,0,0,1,0,6,6,No Delinquency
19,2984.0,20.31864560993046,12.696757002664587,0,0,0,0,0,4.841127815637518,9.20649812364211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.291036321226258,0.4672664667333111,0.1589025880262135,0.2608463845384872,1.135177163167833,0.5067199822281462,0.7576585582583584,260.0516494501833,3.011107408641564,1.995290458735977,1.241719426857714,Married,12TH,31,M,28000,122,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,38.66423535052205,0,0,others,others,691,P2,1,1,0,0,0,0.0,0.0,0.0,1.0,0,0,0.0,0.0,0,1,0,0,0,0,0,1,0,0,110,110,No Delinquency
20,80.0,30.0,11.0,8,89,0,1,1,4.841127815637518,22.0,2,1,38,6,12,0,0,0,0,0,0,0,0,0,22,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1679.0,0.0,0.0,0.0,Married,UNDER GRADUATE,31,M,48000,126,0.286,1.0,0.539,0,0,0.0,0.0,0.0,0.0,6.25,1,0,others,others,720,P1,7,5,2,1,0,0.143,0.0,0.286,0.714,1,1,0.143,0.143,0,0,0,0,2,0,0,5,2,5,138,3,High (5+)
21,45.0,7.0,7.0,1,14,0,1,1,0.0,14.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,2.0,1.0,1.0,Married,SSC,25,M,65000,129,1.0,0.0,0.5,0,0,0.0,0.0,0.0,0.0,0.304,0,0,others,ConsumerLoan,669,P2,1,0,1,0,0,0.0,0.0,1.0,0.0,1,0,1.0,0.0,0,0,0,1,0,0,0,0,1,0,8,8,Low (1-2)
22,51.0,8.0,8.0,1,15,0,1,1,0.0,15.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,7.0,0.0,0.0,0.0,4.0,0.0,2.0,200.0,3.0,0.0,0.0,Married,UNDER GRADUATE,35,F,64000,35,0.6,0.0,1.033,0,1,0.0,0.0,0.0,0.0,3.109,0,0,PL,others,699,P2,5,2,3,0,1,0.0,0.2,0.6,0.4,2,1,0.4,0.2,1,3,0,1,0,0,1,3,2,0,92,10,Low (1-2)
23,97.0,20.31864560993046,12.696757002664587,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,1.0,Single,GRADUATE,24,M,15000,60,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,38.66423535052205,0,0,ConsumerLoan,others,678,P2,1,1,0,0,1,0.0,1.0,0.0,1.0,0,1,0.0,1.0,0,1,0,0,0,0,0,1,0,0,40,40,No Delinquency
24,249.46359868211286,20.31864560993046,12.696757002664587,0,0,0,0,0,4.841127815637518,9.20649812364211,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,5.291036321226258,0.4672664667333111,0.1589025880262135,0.2608463845384872,1.135177163167833,0.5067199822281462,0.7576585582583584,260.0516494501833,3.011107408641564,1.995290458735977,1.241719426857714,Single,OTHERS,21,M,16000,36,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,38.66423535052205,0,0,others,others,689,P2,1,1,0,0,0,0.0,0.0,0.0,1.0,1,1,1.0,1.0,0,0,0,0,0,0,0,1,0,1,11,11,No Delinquency
25,77.0,20.31864560993046,12.696757002664587,0,0,0,0,0,4.841127815637518,9.20649812364211,0,0,60,8,22,0,0,0,0,0,0,0,0,0,0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,293.0,1.0,0.0,0.0,Single,12TH,22,M,30000,121,0.667,0.0,0.895,0,0,0.0,0.0,0.0,0.0,5.429,0,0,others,others,702,P3,3,1,2,0,0,0.0,0.0,0.667,0.333,1,1,0.333,0.333,0,0,0,0,0,0,0,1,2,3,51,10,No Delinquency
26,65.0,20.31864560993046,12.696757002664587,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.291036321226258,0.4672664667333111,0.1589025880262135,0.2608463845384872,1.135177163167833,0.5067199822281462,0.7576585582583584,260.0516494501833,3.011107408641564,1.995290458735977,1.241719426857714,Single,12TH,21,M,35000,275,1.0,0.0,0.943,0,0,0.0,0.0,0.0,0.0,38.66423535052205,0,1,others,others,677,P2,1,0,1,0,0,0.0,0.0,1.0,0.0,0,0,0.0,0.0,0,0,0,0,0,1,0,1,0,0,17,17,No Delinquency
27,1341.0,35.0,10.0,10,190,0,2,2,4.841127815637518,190.0,9,8,0,0,0,0,0,0,0,0,0,0,0,0,190,3.0,2.0,1.0,1.0,0.0,0.0,0.0,58.0,1.0,1.0,1.0,Single,12TH,28,M,20000,39,0.0,0.0,0.0,1,0,0.0,1.0,0.0,0.5,38.66423535052205,0,0,CC,others,660,P3,1,1,0,0,0,0.0,0.0,0.0,1.0,0,0,0.0,0.0,0,0,1,0,0,0,0,0,1,0,59,59,High (5+)
28,76.0,20.31864560993046,12.696757002664587,0,0,0,0,0,0.0,0.0,0,0,16,2,2,0,0,0,0,0,0,0,0,0,0,3.0,0.0,0.0,0.0,1.0,1.0,1.0,156.0,1.0,1.0,0.0,Married,12TH,30,F,10000,23,0.455,0.333,0.902,0,0,1.0,0.0,1.0,0.0,38.66423535052205,1,0,PL,others,685,P2,11,6,5,1,1,0.091,0.091,0.455,0.545,3,1,0.273,0.091,2,1,0,1,8,0,0,9,2,1,37,3,No Delinquency
29,88.0,34.0,34.0,1,183,0,0,0,4.841127815637518,0.0,1,1,107,17,43,0,0,0,0,0,0,0,0,0,183,1.0,0.0,0.0,0.0,0.0,0.0,0.0,366.0,0.0,0.0,0.0,Married,SSC,37,F,25000,101,0.19,0.4,0.979,0,0,0.0,0.0,0.0,0.0,38.66423535052205,1,1,HL,HL,740,P1,42,34,8,2,2,0.048,0.048,0.19,0.81,5,3,0.119,0.071,3,0,0,0,26,1,0,35,7,15,159,4,Low (1-2)
30,77.0,20.31864560993046,12.696757002664587,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,71.0,3.0,1.0,1.0,Single,GRADUATE,33,M,50000,80,1.0,0.667,0.442,0,0,0.0,0.0,0.0,0.0,0.534,0,0,others,CC,678,P2,3,0,3,2,0,0.667,0.0,1.0,0.0,3,0,1.0,0.0,2,0,0,2,0,0,0,0,3,1,10,2,No Delinquency
31,68.0,32.0,6.0,4,25,0,2,2,0.0,56.0,1,0,31,5,11,0,0,0,0,0,0,0,0,0,25,14.0,1.0,1.0,1.0,3.0,2.0,3.0,60.0,12.0,9.0,2.0,Single,POST-GRADUATE,22,M,50000,64,0.8,0.6,0.835,1,0,0.667,1.0,0.667,1.0,7.445,0,1,others,others,671,P2,10,2,8,3,0,0.3,0.0,0.8,0.2,5,2,0.5,0.2,2,3,1,2,0,2,0,5,5,2,38,2,Medium (3-5)
32,34.0,20.31864560993046,12.696757002664587,0,0,0,0,0,0.0,0.0,0,0,9,4,6,0,0,0,0,0,0,0,0,0,0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,12.0,11.0,10.0,Married,SSC,52,M,21000,182,0.75,0.667,0.764,0,0,0.0,0.0,0.0,0.0,1.657,0,0,ConsumerLoan,others,638,P4,4,1,3,2,0,0.5,0.0,0.75,0.25,3,0,0.75,0.0,0,2,0,2,0,0,0,2,2,0,47,2,No Delinquency
33,75.0,20.31864560993046,12.696757002664587,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,149.0,4.0,1.0,0.0,Married,12TH,41,M,18000,217,0.6,0.5,0.635,0,0,0.0,0.0,0.0,0.0,1.86,0,0,HL,ConsumerLoan,689,P2,5,2,3,2,1,0.4,0.2,0.6,0.4,4,1,0.8,0.2,2,0,0,5,0,0,0,0,5,0,20,3,No Delinquency
34,76.0,20.31864560993046,12.696757002664587,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,4.0,3.0,2.0,Single,GRADUATE,25,M,15000,63,1.0,1.0,0.6,0,0,0.0,0.0,0.0,0.0,1.2,0,0,ConsumerLoan,others,663,P3,1,0,1,1,0,1.0,0.0,1.0,0.0,1,0,1.0,0.0,0,0,0,1,0,0,0,0,1,0,4,4,No Delinquency
35,99.0,20.31864560993046,12.696757002664587,0,0,0,0,0,0.0,0.0,0,0,6,5,6,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,207.0,1.0,0.0,0.0,Married,SSC,25,M,12000,40,1.0,0.0,0.762,0,0,0.0,0.0,0.0,0.0,8.75,0,0,others,others,692,P2,2,0,2,0,0,0.0,0.0,1.0,0.0,1,0,0.5,0.0,1,0,0,0,0,0,0,1,1,2,26,7,No Delinquency
36,48.0,20.31864560993046,12.696757002664587,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,581.0,0.0,0.0,0.0,Married,GRADUATE,26,M,30000,62,1.0,0.0,0.526,0,0,0.0,0.0,0.0,0.0,38.66423535052205,0,0,others,others,693,P2,1,0,1,0,0,0.0,0.0,1.0,0.0,0,0,0.0,0.0,0,1,0,0,0,0,0,1,0,0,19,19,No Delinquency
37,33.0,20.31864560993046,12.696757002664587,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.0,3.0,3.0,3.0,6.0,5.0,6.0,3.0,13.0,9.0,3.0,Married,GRADUATE,30,F,25000,62,0.857,0.6,0.81,1,1,0.833,1.0,0.833,1.0,12.6,0,0,PL,others,678,P2,7,1,6,3,1,0.429,0.143,0.857,0.143,5,1,0.714,0.143,0,1,2,3,0,0,1,1,6,0,41,4,No Delinquency
38,341.0,20.31864560993046,12.696757002664587,0,0,0,0,0,0.0,0.0,0,0,26,5,11,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,1.0,1.0,1.0,Married,OTHERS,38,M,55000,231,0.273,0.0,1.0,0,0,0.0,0.0,0.0,0.0,38.66423535052205,1,0,ConsumerLoan,ConsumerLoan,705,P1,11,8,3,0,0,0.0,0.0,0.273,0.727,1,0,0.091,0.0,0,0,0,0,6,0,0,6,5,5,73,11,No Delinquency
39,277.0,20.31864560993046,12.696757002664587,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,5.0,5.0,5.0,Married,12TH,57,M,40000,130,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,38.66423535052205,0,0,ConsumerLoan,others,657,P4,1,1,0,0,0,0.0,0.0,0.0,1.0,0,1,0.0,1.0,0,1,0,0,0,0,0,1,0,0,45,45,No Delinquency
40,92.0,20.31864560993046,12.696757002664587,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,821.0,0.0,0.0,0.0,Married,SSC,48,M,25000,300,0.0,0.0,0.0,0,1,0.0,0.0,0.0,0.0,38.66423535052205,0,0,others,others,693,P2,2,2,0,0,1,0.0,0.5,0.0,1.0,0,1,0.0,0.5,0,1,0,0,0,0,1,1,1,0,32,27,No Delinquency
41,249.46359868211286,20.31864560993046,12.696757002664587,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.291036321226258,0.4672664667333111,0.1589025880262135,0.2608463845384872,1.135177163167833,0.5067199822281462,0.7576585582583584,260.0516494501833,3.011107408641564,1.995290458735977,1.241719426857714,Single,12TH,25,M,25000,54,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,38.66423535052205,0,0,others,others,672,P2,1,1,0,0,1,0.0,1.0,0.0,1.0,0,1,0.0,1.0,1,1,0,0,0,0,0,1,0,0,19,19,No Delinquency
42,105.0,20.31864560993046,12.696757002664587,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,0.0,0.0,0.0,2.0,2.0,2.0,79.0,3.0,2.0,1.0,Married,GRADUATE,31,M,15000,125,1.0,0.0,0.0,0,0,1.0,0.0,1.0,0.0,0.933,0,0,PL,others,663,P3,1,0,1,0,0,0.0,0.0,1.0,0.0,1,0,1.0,0.0,0,0,0,1,0,0,0,0,1,0,10,10,No Delinquency
43,83.0,20.31864560993046,12.696757002664587,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.291036321226258,0.4672664667333111,0.1589025880262135,0.2608463845384872,1.135177163167833,0.5067199822281462,0.7576585582583584,260.0516494501833,3.011107408641564,1.995290458735977,1.241719426857714,Married,GRADUATE,25,F,18500,80,1.0,1.0,0.704,0,0,0.0,0.0,0.0,0.0,38.66423535052205,0,1,others,others,673,P2,1,0,1,1,0,1.0,0.0,1.0,0.0,1,0,1.0,0.0,0,0,0,0,0,1,0,1,0,0,5,5,No Delinquency
44,875.0,35.0,31.0,4,60,0,0,0,4.841127815637518,9.20649812364211,1,0,0,0,0,0,0,0,0,0,0,0,0,0,60,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1481.0,0.0,0.0,0.0,Married,12TH,52,M,13000,244,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,38.66423535052205,0,0,others,others,662,P3,1,1,0,0,0,0.0,0.0,0.0,1.0,0,0,0.0,0.0,0,1,0,0,0,0,0,1,0,0,49,49,Medium (3-5)
45,53.0,29.0,15.0,4,4,0,0,0,0.0,0.0,2,0,25,4,10,0,0,0,0,0,0,0,0,0,4,6.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,3.0,3.0,2.0,Married,POST-GRADUATE,31,M,45000,181,0.4,0.0,0.583,0,0,0.0,0.0,0.0,0.0,2.978,0,0,ConsumerLoan,ConsumerLoan,659,P3,5,3,2,0,0,0.0,0.0,0.4,0.6,1,0,0.2,0.0,0,0,0,2,0,0,0,0,5,3,33,12,Medium (3-5)
46,80.0,21.0,21.0,1,9,0,0,0,0.0,0.0,0,0,6,5,6,0,0,0,0,0,0,0,0,0,9,23.0,1.0,1.0,1.0,13.0,8.0,13.0,49.0,18.0,9.0,5.0,Married,GRADUATE,25,M,20000,70,0.417,0.7,0.904,1,1,0.615,1.0,0.615,1.0,7.729,0,0,CC,others,651,P4,12,7,5,7,4,0.583,0.333,0.417,0.583,10,5,0.833,0.417,3,2,1,2,0,0,7,2,10,0,48,2,Low (1-2)
